applicant_id,gender,married,dependents,education,self_employed,applicant_income,coapplicant_income,property_area
LP002847,Male,Yes,,Graduate,No,5116,1451.0,Urban
LP002868,Male,Yes,2,Graduate,No,3159,461.0,Urban
LP002872,,Yes,0,Graduate,No,3087,2210.0,Semiurban
LP002874,Male,No,0,Graduate,No,3229,2739.0,Urban
LP002877,Male,Yes,1,Graduate,No,1782,2232.0,Rural
LP002888,Male,No,0,Graduate,,3182,2917.0,Urban
LP002893,Male,No,0,Graduate,No,1836,33837.0,Urban
LP002911,Male,Yes,1,Graduate,No,2787,1917.0,Rural
LP002912,Male,Yes,1,Graduate,No,4283,3000.0,Rural
LP002916,Male,Yes,0,Graduate,No,2297,1522.0,Urban
LP002925,,No,0,Graduate,No,4750,0.0,Semiurban
LP002926,Male,Yes,2,Graduate,Yes,2726,0.0,Semiurban
LP002928,Male,Yes,0,Graduate,No,3000,3416.0,Semiurban
LP002933,,No,3+,Graduate,Yes,9357,0.0,Semiurban
LP002936,Male,Yes,0,Graduate,No,3859,3300.0,Rural
LP002941,Male,Yes,2,Not Graduate,Yes,6383,1000.0,Rural
LP002943,Male,No,,Graduate,No,2987,0.0,Semiurban
LP002945,Male,Yes,0,Graduate,Yes,9963,0.0,Rural
LP002949,Female,No,3+,Graduate,,416,41667.0,Urban
LP002950,Male,Yes,0,Not Graduate,,2894,2792.0,Rural
LP002958,Male,No,0,Graduate,No,3676,4301.0,Rural
LP002959,Female,Yes,1,Graduate,No,12000,0.0,Semiurban
LP002960,Male,Yes,0,Not Graduate,No,2400,3800.0,Urban
LP002961,Male,Yes,1,Graduate,No,3400,2500.0,Semiurban
LP002964,Male,Yes,2,Not Graduate,No,3987,1411.0,Rural
LP002983,Male,Yes,1,Graduate,No,8072,240.0,Urban
